Kevin MacLeod – Gymnopedie No 1 (nocturnal, chill, sad)
Elijah K – neon ghost (nocturnal, chill, dreamy)
Massive Attack – Teardrop (nocturnal, dreamy, sad)
Portishead – Roads (nocturnal, sad, chill)
Moby – Porcelain (chill, dreamy, sad)
The xx – Intro (nocturnal, chill, dreamy)
Lana Del Rey – Video Games (dreamy, sad, chill)
Radiohead – How to Disappear Completely (sad, dreamy, nocturnal)
Billie Eilish – when the party’s over (sad, chill, nocturnal)
Bon Iver – Holocene (chill, dreamy, sad)
Tycho – Awake (chill, dreamy, energetic)
Boards of Canada – Dayvan Cowboy (dreamy, chill, nocturnal)
Air – La Femme d’Argent (chill, dreamy, jazz)
Zero 7 – Destiny (chill, dreamy, sad)
Morcheeba – The Sea (chill, dreamy, nocturnal)
Nujabes – Feather (chill, jaz,z dreamy)
Miles Davis – Blue in Green (jazz, sad, nocturnal)
Chet Baker – Almost Blue (jazz, sad, chill)
Norah Jones – Don’t Know Why (jazz, chill, dreamy)
Sade – No Ordinary Love (chill, dreamy, nocturnal)
Cigarettes After Sex – Nothing’s Gonna Hurt You Baby (dreamy, chill, nocturnal)
Beach House – Space Song (dreamy, nocturnal, sad)
Mazzy Star – Fade Into You (dreamy, sad, chill)
Cocteau Twins – Heaven or Las Vegas (dreamy, energetic, nocturnal)
Enya – Only Time (dreamy, chill, sad)
London Grammar – Strong (sad, dreamy, chill)
Rhye – Open (chill, dreamy, nocturnal)
James Blake – Retrograde (sad, nocturnal, dreamy)
Frank Ocean – Pink + White (chill, dreamy, sad)
The Weeknd – Wicked Games (nocturnal, sad, chill)
Chromatics – Shadow (nocturnal, dreamy, sad)
Kavinsky – Nightcall (nocturnal, energetic, dreamy)
Daft Punk – Something About Us (chill, dreamy, sad)
Bonobo – Kerala (chill, energetic, dreamy)
ODESZA – A Moment Apart (dreamy, energetic, chill)
Brian Eno – An Ending (Ascent) (ambient) (dreamy, chill, nocturnal)
Aphex Twin – Avril 14th (chill, dreamy, sad)
Lorde – Liability (sad, chill, dreamy)
Adele – Someone Like You (sad, chill, nocturnal)
Daughter – Youth (sad, dreamy, nocturnal)
Sigur Rós – Svefn-g-englar (dreamy, nocturnal, chill)
José González – Heartbeats (chill, dreamy, sad)
Alvvays – Dreams Tonite (dreamy, chill, nocturnal)
FKA twigs – Cellophane (sad, dreamy, nocturnal)
The Cinematic Orchestra – To Build a Home (sad, dreamy, chill)
Melody Gardot – Baby I’m a Fool (jazz, chill, dreamy)
St. Germain – Rose Rouge (jazz, energetic, chill)
Moonchild – The List (jazz, chill, dreamy)
Snarky Puppy – Lingus (jazz, energetic, dreamy)
Hania Rani – F Major (dreamy, chill, nocturnal)
